"idx","cd_nm","cd_a","cd_b","cd_memo","cd_memo2","del_flag","order_num","ins_dt","edit_dt"
1170,도시 선호 중간선호,TSY,"6","","",N,999,2022-09-22 17:34:50.000,
1171,도시 선호 매우선호,TSY,"7","","",N,999,2022-09-22 17:34:50.000,
1172,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",TMT,"1","","",N,999,2022-09-22 17:34:50.000,
1173,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",TMT,"2","","",N,999,2022-09-22 17:34:50.000,
1174,여행 동반자와의 친밀감 및 유대감 증진,TMT,"3","","",N,999,2022-09-22 17:34:50.000,
1175,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기,TMT,"4","","",N,999,2022-09-22 17:34:50.000,
1176,SNS 사진 등록 등 과시,TMT,"5","","",N,999,2022-09-22 17:34:50.000,
1177,"운동, 건강 증진 및 충전",TMT,"6","","",N,999,2022-09-22 17:34:50.000,
1178,새로운 경험 추구,TMT,"7","","",N,999,2022-09-22 17:34:50.000,
1179,"역사 탐방, 문화적 경험 등 교육적 동기",TMT,"8","","",N,999,2022-09-22 17:34:50.000,
1180,"특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)",TMT,"9","","",N,999,2022-09-22 17:34:50.000,
1181,기타,TMT,"10","","",N,999,2022-09-22 17:34:50.000,
1182,배우자,TCR,"1","","",N,999,2022-09-22 17:34:50.000,
1183,자녀,TCR,"2","","",N,999,2022-09-22 17:34:50.000,
1184,부모,TCR,"3","","",N,999,2022-09-22 17:34:50.000,
1185,조부모,TCR,"4","","",N,999,2022-09-22 17:34:50.000,
1186,형제/자매,TCR,"5","","",N,999,2022-09-22 17:34:50.000,
1187,친인척,TCR,"6","","",N,999,2022-09-22 17:34:50.000,
1188,친구,TCR,"7","","",N,999,2022-09-22 17:34:50.000,
1189,연인,TCR,"8","","",N,999,2022-09-22 17:34:50.000,
1190,동료,TCR,"9","","",N,999,2022-09-22 17:34:50.000,
1191,"친목 단체/모임(동호회, 종교단체 등)",TCR,"10","","",N,999,2022-09-22 17:34:50.000,
1192,기타,TCR,"11","","",N,999,2022-09-22 17:34:50.000,
1193,남자,GEN,"1","","",N,999,2022-09-22 17:34:50.000,
1194,여자,GEN,"2","","",N,999,2022-09-22 17:34:50.000,
1195,~9세이하,AGE,"1","","",N,999,2022-09-22 17:34:50.000,
1196,"10대",AGE,"2","","",N,999,2022-09-22 17:34:50.000,
1197,"20대",AGE,"3","","",N,999,2022-09-22 17:34:50.000,
1198,"30대",AGE,"4","","",N,999,2022-09-22 17:34:50.000,
1199,"40대",AGE,"5","","",N,999,2022-09-22 17:34:50.000,
1200,"50대",AGE,"6","","",N,999,2022-09-22 17:34:50.000,
1201,"60대",AGE,"7","","",N,999,2022-09-22 17:34:50.000,
1202,"70세이상",AGE,"8","","",N,999,2022-09-22 17:34:50.000,
1203,계속 함께 여행,CST,"1","","",N,999,2022-09-22 17:34:50.000,
1204,여행 중 이탈,CST,"2","","",N,999,2022-09-22 17:34:50.000,
1205,여행 중 합류,CST,"3","","",N,999,2022-09-22 17:34:50.000,
1206,체험,AMS,"1","","",N,999,2022-11-11 13:48:15.000,
1207,입장 및 관람,AMS,"2","","",N,999,2022-11-11 13:48:15.000,
1208,전업주부,JOB,"11","","",N,999,2022-09-22 17:34:50.000,
1209,학생,JOB,"12","","",N,999,2022-09-22 17:34:50.000,
1210,기타,JOB,"13","","",N,999,2022-09-22 17:34:50.000,
1211,서울,TAR,A01,"","",N,999,2022-12-01 16:07:39.000,
1212,인천,TAR,A02,"","",N,999,2022-12-01 16:07:39.000,
1213,경기,TAR,A03,"","",N,999,2022-12-01 16:07:39.000,
1214,강원,TAR,B01,"","",N,999,2022-12-01 16:07:39.000,
1215,대구,TAR,B02,"","",N,999,2022-12-01 16:07:39.000,
1216,경북,TAR,B03,"","",N,999,2022-12-01 16:07:39.000,
1217,부산,TAR,B04,"","",N,999,2022-12-01 16:07:39.000,
1218,울산,TAR,B05,"","",N,999,2022-12-01 16:07:39.000,
1219,경남,TAR,B06,"","",N,999,2022-12-01 16:07:39.000,
1220,광주,TAR,C01,"","",N,999,2022-12-01 16:07:39.000,
1221,전북,TAR,C02,"","",N,999,2022-12-01 16:07:39.000,
1222,전남,TAR,C03,"","",N,999,2022-12-01 16:07:39.000,
1223,대전,TAR,C04,"","",N,999,2022-12-01 16:07:39.000,
1224,충북,TAR,C05,"","",N,999,2022-12-01 16:07:39.000,
1225,충남,TAR,C06,"","",N,999,2022-12-01 16:07:39.000,
1226,세종,TAR,C07,"","",N,999,2022-12-01 16:07:39.000,
1227,제주,TAR,D01,"","",N,999,2022-12-01 16:07:39.000,
1228,도서지역,TAR,D02,"","",N,999,2022-12-01 16:07:39.000,
